Order_ID,Service_Type,Courier_ID,Courier_Name,Hub_Origin,Store_Latitude,Store_Longitude,Destination_Address,Destination_City,Drop_Latitude,Drop_Longitude,Courier_Live_Lat,Courier_Live_Long,Order_Date,Order_Time,Pickup_Time,Weight_Kg,Dimensions_Cm,Special_Handling,Temperature_C,Weather,Traffic,Vehicle,Delivery_Status,SLA_Deadline,Delivery_Time_Minutes,SLA_Remaining_Minutes,SLA_Status,Category
100024000000,Instant,STR-JKT-001,Budi Santoso,HUB-JAKSEL-TEBET,-6.225588,106.855324,"Jl. Ir. H. Djuanda No. 120, RT 02/RW 07",Jakarta Selatan,-6.191771,106.819609,-6.219597,106.847922,2026-09-20,10:35:00,10:50:00,2.9,30x23x12,Instant_Direct,N/A,Berawan,Padat,Motorcycle,Incident_Reported,2026-09-20 13:50:00,180,-40,BREACHED,Kebutuhan Pokok Cepat
100024000001,Regular,STR-TGR-001,Rian Kusuma,HUB-BKS-HARAPANINDAH,-6.180215,106.984211,"Jl. H.R. Rasuna Said No. 8, RT 06/RW 06",Bekasi,-6.20258,106.935978,-6.199536,106.942214,2026-09-17,16:06:00,16:33:00,1.5,24x30x29,Standard,N/A,Berawan,Sedang,Motorcycle,Assigned,2026-09-20 16:33:00,4320,123,SAFE,Perlengkapan Rumah
100024000002,Regular,STR-JKT-003,Rizky Pratama,HUB-JAKPUS-TANAHABANG,-6.187841,106.814327,"Jl. Juanda No. 34, RT 06/RW 03",Jakarta Pusat,-6.149611,106.882258,-6.157018,106.864469,2026-09-18,21:35:00,22:14:00,9.3,20x27x17,Standard,N/A,Berawan,Sedang,Motorcycle,In_Transit,2026-09-20 22:14:00,2880,464,SAFE,Elektronik
100024000003,PHARMA,STR-DPK-001,Indra Gunawan,HUB-BDG-BATUNUNGGAL,-6.953812,107.627419,"Jl. Ahmad Yani No. 102, RT 07/RW 05",Bandung,-6.993066,107.602819,-6.983476,107.612429,2026-09-19,13:52:00,14:41:00,4.39,29x12x14,BPOM_Pharma,17.2,Hujan Deras,Padat,Motorcycle,In_Transit,2026-09-20 14:41:00,1440,11,HIGH_RISK,Obat Resep
100024000004,Instant,STR-JKT-012,Wahyu Hidayat,HUB-SBY-GUBENG,-7.265412,112.752189,"Jl. M.H. Thamrin No. 12, RT 02/RW 03",Surabaya,-7.279496,112.712894,-7.277302,112.716401,2026-09-21,10:22:00,11:18:00,3.1,24x18x5,Instant_Direct,N/A,Cerah,Lancar,Motorcycle,In_Transit,2026-09-21 14:18:00,180,1428,SAFE,Makanan Siap Saji
100024000005,Same Day,STR-JKT-005,Eko Prasetyo,HUB-JAKTIM-RAWAMANGUN,-6.194218,106.883905,"Jl. Senopati No. 18, RT 09/RW 02",Jakarta Timur,-6.200697,106.947439,-6.200582,106.932391,2026-09-20,16:30:00,17:16:00,1.5,20x27x10,Same_Day_Priority,N/A,Berawan,Sedang,Motorcycle,In_Transit,2026-09-21 01:16:00,480,646,SAFE,Snack & Makanan Kering
100024000006,PHARMA,STR-TGR-002,Surya Darma,HUB-JAKUT-SUNTER,-6.138472,106.865419,"Jl. Gatot Subroto Kav. 22, RT 09/RW 03",Jakarta Utara,-6.174949,106.829141,-6.160958,106.846961,2026-09-20,01:42:00,02:39:00,7.45,28x13x18,BPOM_Pharma,21.4,Banjir,Sedang,Van,In_Transit,2026-09-20 14:39:00,720,9,HIGH_RISK,Obat Resep
100024000007,Next Day,STR-JKT-002,Agus Prayitno,HUB-BDG-BATUNUNGGAL,-6.953812,107.627419,"Jl. Raya Darmo No. 55, RT 04/RW 01",Bandung,-6.960604,107.592126,-6.958009,107.620867,2026-09-19,13:45:00,14:42:00,8.7,17x26x17,Standard,N/A,Cerah,Lancar,Motorcycle,In_Transit,2026-09-20 14:42:00,1440,12,HIGH_RISK,Elektronik Kecil
100024000008,Next Day,STR-JKT-004,Hendra Wijaya,HUB-SBY-GUBENG,-7.265412,112.752189,"Jl. Margonda Raya No. 150, RT 06/RW 07",Surabaya,-7.254742,112.716209,-7.260837,112.732446,2026-09-19,16:28:00,16:55:00,1.1,38x20x13,Standard,N/A,Berawan,Macet Total,Van,In_Transit,2026-09-20 16:55:00,1440,145,SAFE,Sepatu
100024000009,Next Day,STR-JKT-009,Aris Munandar,HUB-BKS-HARAPANINDAH,-6.180215,106.984211,"Jl. Ir. H. Djuanda No. 120, RT 02/RW 01",Bekasi,-6.224527,106.978979,-6.216535,106.982072,2026-09-20,09:14:00,09:32:00,2.1,30x25x16,Standard,N/A,Berawan,Macet Total,Van,In_Transit,2026-09-21 09:32:00,1440,1142,SAFE,Buku
